-957,1618,2
-930,1570,-132
-755,1533,-365
-735,1471,-440
-655,1383,-553
-613,1361,-598
-573,1407,-616
-446,1283,-755
-373,1245,-826
-185,1102,-938
-52,956,-1020
40,783,-1065
25,665,-1107
2,580,-1105
-7,466,-1115
-27,260,-1102
-20,100,-1065
-80,-17,-1022
-177,-61,-997
-257,-46,-967
-282,-123,-970
-285,-161,-943
-307,-223,-943
-356,-275,-893
-391,-270,-881
-312,-345,-853
-331,-321,-858
-441,-291,-836
-596,-301,-757
-608,-238,-790
-598,-182,-821
-608,-233,-790
-707,-216,-695
-877,-115,-588
-973,-12,-528
-1076,241,-457
-1078,371,-521
-1086,450,-506
-1071,568,-528
-1061,690,-541
-1016,860,-508
-927,983,-533
-870,1066,-558
-772,1116,-631
-692,1165,-687
-568,1177,-775
-398,1196,-826
-257,1180,-896
-107,1102,-938
-17,1043,-985
117,922,-1042
167,832,-1085
152,806,-1067
107,910,-1077
7,1012,-1030
-92,1151,-963
-262,1245,-861
-471,1303,-742
-618,1288,-647
-770,1245,-561
-930,1180,-477
-1031,1051,-415
-1128,922,-370
-1193,852,-330
-1238,736,-213
-1268,527,-213
-1266,311,-233
-1241,167,-243
-1123,-138,-352
-1043,-291,-372
-937,-391,-435
-845,-432,-498
-717,-505,-556
-601,-553,-578
-576,-525,-613
-543,-546,-650
-513,-548,-657
-398,-600,-732
-300,-577,-782
-232,-520,-861
-105,-476,-903
-22,-412,-963
75,-260,-1002
67,-138,-1052
130,46,-1112
102,257,-1133
42,388,-1146
57,476,-1131
17,590,-1115
67,643,-1095
50,718,-1120
-32,825,-1077
-282,983,-967
-443,1027,-911
-603,1043,-816
-815,992,-710
-877,893,-677
-912,840,-641
-955,703,-611
-986,427,-613
-966,146,-636
-930,12,-628
-882,-211,-628
-852,-340,-558
-842,-388,-538
-942,-306,-442
-1086,-115,-380
-1171,97,-352
-1183,272,-387
-1153,396,-420
-1156,548,-480
-1106,605,-513
-1066,713,-551
-1036,750,-558
-1066,708,-521
-1083,515,-493
-1078,301,-518
-1036,161,-556
-1016,5,-581
-976,-170,-533
-971,-223,-526
-1048,-102,-460
-1156,138,-375
-1211,352,-357
-1156,558,-415
-1116,708,-486
-1038,796,-543
-986,808,-593
-1046,745,-558
-1156,605,-440
-1213,303,-332
-1186,37,-303
-1148,-115,-298
-1101,-252,-298
-1043,-373,-325
-1036,-371,-330
-1013,-371,-385
-1031,-330,-407
-1041,-332,-335
-1041,-326,-370
-998,-311,-400
-973,-270,-493
-966,-296,-480
-805,-357,-608
-526,-427,-747
-506,-371,-802
-401,-267,-883
-305,-165,-958
-245,-12,-1032
-167,117,-1077
-80,291,-1120
-55,463,-1143
-22,566,-1143
-82,595,-1138
-77,566,-1115
-75,468,-1117
-47,386,-1117
32,143,-1133
22,-146,-1065
-85,-318,-1017
-177,-415,-911
-285,-517,-833
-388,-517,-750
-468,-543,-697
-546,-536,-670
-593,-517,-636
-712,-412,-628
-735,-440,-626
-832,-415,-556
-900,-352,-523
-945,-213,-541
-1036,-85,-465
-1133,187,-442
-1166,376,-390
-1126,577,-452
-1068,685,-533
-981,755,-613
-850,886,-690
-742,1005,-735
-638,1131,-725
-553,1226,-740
-506,1223,-767
-531,1192,-782
-466,1126,-858
-356,1051,-943
-220,990,-1007
-87,912,-1047
2,852,-1082
150,651,-1095
242,512,-1136
290,445,-1136
277,406,-1171
368,415,-1161
328,187,-1143
265,43,-1128
212,-58,-1080
190,-151,-1057
142,-185,-1055
167,-143,-1090
240,-151,-1082
371,-167,-1082
428,-128,-1080
428,2,-1092
396,115,-1131
295,206,-1125
132,321,-1128
60,471,-1122
-32,522,-1117
-127,708,-1100
-137,855,-1057
-215,878,-1047
-421,966,-918
-568,1010,-828
-737,1015,-702
-897,953,-628
-1043,837,-511
-1126,577,-503
-1141,381,-498
-1141,272,-465
-1188,148,-360
-1148,0,-345
-1113,-71,-385
-1088,-107,-367
-1096,-128,-362
-1073,-175,-420
-978,-185,-543
-890,-187,-616
-757,-231,-680
-548,-255,-813
-393,-206,-886
-297,-56,-1012
-252,78,-1050
-232,352,-1092
-333,612,-1060
-270,736,-1047
-195,915,-1027
-185,1041,-995
-317,1097,-918
-652,1116,-735
-785,1015,-690
-960,801,-618
-1101,561,-501
-1098,257,-503
-1116,53,-385
-1176,-87,-258
-1188,-153,-171
-1233,-17,-171
-1251,262,-261
-1118,566,-455
-993,783,-598
-810,920,-712
-642,997,-795
-336,1038,-921
-112,1020,-990
190,783,-1105
341,697,-1120
312,571,-1151
376,427,-1163
343,143,-1133
220,-223,-1017
162,-471,-938
152,-577,-851
180,-703,-760
120,-762,-712
50,-747,-710
80,-850,-670
35,-847,-660
52,-818,-677
20,-808,-631
-32,-832,-601
-297,-888,-460
-805,-695,-228
-1218,-247,-10
-1340,192,-5
-1357,371,-65
-1347,546,-82
-1320,687,-92
-1295,893,-47
-1241,1002,-50
-1233,971,-90
-1223,956,-110
-1208,1002,-168
-1223,942,-171
-1171,907,-273
-1158,860,-263
-1166,873,-281
-1138,907,-271
-1136,907,-276
-1161,871,-298
-1151,873,-291
-1168,842,-330
-1166,881,-313
-1156,912,-316
-1151,922,-313
-1128,925,-293
-1143,922,-301
-1126,922,-318
-1131,925,-337
-1113,945,-380
-1108,961,-360
-1053,997,-390
-1036,1010,-405
-966,1066,-437
-840,1082,-576
-700,986,-765
-478,866,-906
-292,721,-1052
-157,677,-1097
-85,677,-1102
95,595,-1138
20,733,-1100
-10,1025,-1042
-52,1046,-1020
-75,1015,-1062
-70,1038,-1052
-70,1012,-1060
-70,1015,-1055
-65,1041,-1017
-65,1025,-1027
-55,1027,-1025
-40,1038,-1025
-45,1046,-1025
-75,1015,-1045
-65,1010,-1052
